building_index;coefficient;units;climatic_zone;period;geometry;roof;opaqueS;opaqueW;opaqueN;opaqueE;transparentS;transparentW;transparentN;transparentE;floor
1;h_eli;W/m2K;A;<1975;SINGLE-FAMILY;2.292383564;2.529260053;2.529260053;2.529260053;2.529260053;36.34595196;36.34595196;36.34595196;36.34595196;2.224241706
1;C_int,eli;J/m2K;A;<1975;SINGLE-FAMILY;360000;514000;514000;514000;514000;0;0;0;0;938305
1;h_ci,eli;W/m2K;A;<1975;SINGLE-FAMILY;5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;0.7
1;A_eli;m2;A;<1975;SINGLE-FAMILY;93.15;43.2;43.2;43.2;43.2;10.8;10.8;10.8;10.8;81
1;a_sol;-;A;<1975;SINGLE-FAMILY;0.6;0.6;0.6;0.6;0.6;0;0;0;0;0.6
1;fi_sky;W/m2K;A;<1975;SINGLE-FAMILY;45.54;22.77;22.77;22.77;22.77;22.77;22.77;22.77;22.77;0
1;A_win;m2;A;<1975;SINGLE-FAMILY;0;0;0;0;0;10.8;10.8;10.8;10.8;0
1;h_se,eli;W/m2K;A;<1975;SINGLE-FAMILY;24.14;24.14;24.14;24.14;24.14;24.14;24.14;24.14;24.14;999
2;h_eli;W/m2K;A;<1975;DOUBLE-FAMILY;2.292383564;2.529260053;2.529260053;2.529260053;2.529260053;36.34595196;36.34595196;36.34595196;36.34595196;2.224241706
2;C_int,eli;J/m2K;A;<1975;DOUBLE-FAMILY;360000;514000;514000;514000;514000;0;0;0;0;938305
2;h_ci,eli;W/m2K;A;<1975;DOUBLE-FAMILY;5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;0.7
2;A_eli;m2;A;<1975;DOUBLE-FAMILY;139.15;52.8;52.8;52.8;52.8;13.2;13.2;13.2;13.2;121
2;a_sol;-;A;<1975;DOUBLE-FAMILY;0.6;0.6;0.6;0.6;0.6;0;0;0;0;0.6
2;fi_sky;W/m2K;A;<1975;DOUBLE-FAMILY;45.54;22.77;22.77;22.77;22.77;22.77;22.77;22.77;22.77;0
2;A_win;m2;A;<1975;DOUBLE-FAMILY;0;0;0;0;0;13.2;13.2;13.2;13.2;0
2;h_se,eli;W/m2K;A;<1975;DOUBLE-FAMILY;24.14;24.14;24.14;24.14;24.14;24.14;24.14;24.14;24.14;999
3;h_eli;W/m2K;A;<1975;MULTI-FAMILY;1.945977588;1.972926686;1.972926686;1.972926686;1.972926686;36.34595196;36.34595196;36.34595196;36.34595196;2.028705202
3;C_int,eli;J/m2K;A;<1975;MULTI-FAMILY;512000;658000;658000;658000;658000;0;0;0;0;1038305
3;h_ci,eli;W/m2K;A;<1975;MULTI-FAMILY;5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;0.7
3;A_eli;m2;A;<1975;MULTI-FAMILY;184;172.8;96;172.8;96;43.2;24;43.2;24;160
3;a_sol;-;A;<1975;MULTI-FAMILY;0.6;0.6;0.6;0.6;0.6;0;0;0;0;0.6
3;fi_sky;W/m2K;A;<1975;MULTI-FAMILY;45.54;22.77;22.77;22.77;22.77;22.77;22.77;22.77;22.77;0
3;A_win;m2;A;<1975;MULTI-FAMILY;0;0;0;0;0;43.2;24;43.2;24;0
3;h_se,eli;W/m2K;A;<1975;MULTI-FAMILY;24.14;24.14;24.14;24.14;24.14;24.14;24.14;24.14;24.14;999
4;h_eli;W/m2K;A;<1975;APARTMENT-BLOCK;1.945977588;1.972926686;1.972926686;1.972926686;1.972926686;36.34595196;36.34595196;36.34595196;36.34595196;2.028705202
4;C_int,eli;J/m2K;A;<1975;APARTMENT-BLOCK;512000;658000;658000;658000;658000;0;0;0;0;1038305
4;h_ci,eli;W/m2K;A;<1975;APARTMENT-BLOCK;5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;0.7
4;A_eli;m2;A;<1975;APARTMENT-BLOCK;276;403.2;144;403.2;144;100.8;36;100.8;36;240
4;a_sol;-;A;<1975;APARTMENT-BLOCK;0.6;0.6;0.6;0.6;0.6;0;0;0;0;0.6
4;fi_sky;W/m2K;A;<1975;APARTMENT-BLOCK;45.54;22.77;22.77;22.77;22.77;22.77;22.77;22.77;22.77;0
4;A_win;m2;A;<1975;APARTMENT-BLOCK;0;0;0;0;0;100.8;36;100.8;36;0
4;h_se,eli;W/m2K;A;<1975;APARTMENT-BLOCK;24.14;24.14;24.14;24.14;24.14;24.14;24.14;24.14;24.14;999
5;h_eli;W/m2K;A;1976-1990;SINGLE-FAMILY;1.827674028;1.353014446;1.353014446;1.353014446;1.353014446;36.34595196;36.34595196;36.34595196;36.34595196;1.594399301
5;C_int,eli;J/m2K;A;1976-1990;SINGLE-FAMILY;360183;248000;248000;248000;248000;0;0;0;0;938597.8
5;h_ci,eli;W/m2K;A;1976-1990;SINGLE-FAMILY;5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;0.7
5;A_eli;m2;A;1976-1990;SINGLE-FAMILY;93.15;39.42;39.42;39.42;39.42;14.58;14.58;14.58;14.58;81
5;a_sol;-;A;1976-1990;SINGLE-FAMILY;0.6;0.6;0.6;0.6;0.6;0;0;0;0;0.6
5;fi_sky;W/m2K;A;1976-1990;SINGLE-FAMILY;45.54;22.77;22.77;22.77;22.77;22.77;22.77;22.77;22.77;0
5;A_win;m2;A;1976-1990;SINGLE-FAMILY;0;0;0;0;0;14.58;14.58;14.58;14.58;0
5;h_se,eli;W/m2K;A;1976-1990;SINGLE-FAMILY;24.14;24.14;24.14;24.14;24.14;24.14;24.14;24.14;24.14;999
6;h_eli;W/m2K;A;1976-1990;DOUBLE-FAMILY;1.827674028;1.353014446;1.353014446;1.353014446;1.353014446;36.34595196;36.34595196;36.34595196;36.34595196;1.594399301
6;C_int,eli;J/m2K;A;1976-1990;DOUBLE-FAMILY;360183;248000;248000;248000;248000;0;0;0;0;938597.8
6;h_ci,eli;W/m2K;A;1976-1990;DOUBLE-FAMILY;5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;0.7
6;A_eli;m2;A;1976-1990;DOUBLE-FAMILY;139.15;48.18;48.18;48.18;48.18;17.82;17.82;17.82;17.82;121
6;a_sol;-;A;1976-1990;DOUBLE-FAMILY;0.6;0.6;0.6;0.6;0.6;0;0;0;0;0.6
6;fi_sky;W/m2K;A;1976-1990;DOUBLE-FAMILY;45.54;22.77;22.77;22.77;22.77;22.77;22.77;22.77;22.77;0
6;A_win;m2;A;1976-1990;DOUBLE-FAMILY;0;0;0;0;0;17.82;17.82;17.82;17.82;0
6;h_se,eli;W/m2K;A;1976-1990;DOUBLE-FAMILY;24.14;24.14;24.14;24.14;24.14;24.14;24.14;24.14;24.14;999
7;h_eli;W/m2K;A;1976-1990;MULTI-FAMILY;1.827674028;1.353014446;1.353014446;1.353014446;1.353014446;36.34595196;36.34595196;36.34595196;36.34595196;1.488884582
